breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Jindo,the korea jindo dog is a wellproportioned mediumsized dog used for hunting and guarding with erect ears and a rolled or sickleshaped tail it should be a vivid expression of agility strength alertness and dignitythe jindo has a very strong instinct for hunting and is bold brave alert and careful not tempted easily and impetuous but most of all he is extremely faithful to his master on the whole he is not fond of other animals especially males he also has a good sense of direction a oneman dog he readily accepts a new master but never forgets his attachment towards the former master who raised him from puppyhood he keeps himself clean and eats sparingly club contact detailsclub korean jindo association of americaname ann kimemail jindojunkieyahoocom loyal watchful and intelligent the jindo developed as a breed on an island off the coast of south korea mediumsized and natural in appearance they are valued as independent hunters discerning guardians and loyal companions,alert intelligent bold,,45.72,55.88,13.6077711,22.6796185,14.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
Kai Ken,kai ken are athletic and intelligent with a strong desire to hunt the kai is an independent thinker and can form a strong bond with their family they are excellent swimmers and climbers and have been known to climb trees and swim rivers in pursuit of game kai have a distinct brindle coat that comes in three colors black brindle kurotora brindle chutora and red brindle akatora red brindle is the rarest of the coat colors the distinct coloring and brindle pattern enabled the dog to blend in to the mountainous forests in which it hunted camouflaging it against prey and predators in ancient times the amount of brindle will vary from dog to dog as well as the brindle pattern most puppies are born completely black and their brindle will emerge as they age and will continue to change for around the first five years of their life in the home the kai ken requires basic canine care they can be kept in an apartment setting provided they receive regular exercise in the form of leashed walks being a naturally clean breed bathing should be limited to only when dirty brushing is recommended especially during twiceayear coat blowing club contact detailsclubkai ken society of americaname stacey pestel communications officeraddress 1808 penfield ct s columbus oh 43227emailclubkaisocietyorgphone 6143138456 the kai ken is a mediumsized dog and is one of the six native japanese breeds or nihon ken traditionally used to hunt a wide range of game in the mountains of japan the kai ken is considered a rare breed even in japan the kai is highly intelligent and learns quickly they seem to learn as fast as the other japanese breeds if not faster they are not as independent and are more willing to please their companions the japanese describe the kai ken as a trustworthy guardian and extremely devoted to his master,loyal agile keen,,39.37,49.53,9.0718474,18.1436948,12.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
Karelian Bear Dog,the karelian bear dog is a mediumsized spitz with a dense coat bred to hunt large aggressive game by himself his build reflects his duties he is a silent hunter and only barks once the game is stopped or treed working with an experienced hunter he communicates the type of animal he has located by the sound of his bark though he can demonstrate selfcontrol around people his fighting spirit surfaces around other dogs and can be difficult to handle his spirit easily turns into aggression as karelian bear dogs love a challenge club contact detailsclub american karelian bear dog alliancename maureen griffinemail nytwindcomcastnetphone 8604349198 the karelian bear dog is an eager hunter and very independent yet works cooperatively to mark game by barking their senses especially smell are sharp thus the breed is suitable for big game hunting they have a very good sense of direction are balanced courageous and persistent this breed has a highly developed spirit for game and are very selfconfident they may be territorial towards other males but are never aggressive towards people though they may be slightly reserved,loyal independent courageous,,48.26,59.69,19.95806428,22.22602613,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,0.6,,0.6,
Keeshond,these square sturdy companions descend from the same ancient stock as other spitz types such as pomeranians and samoyeds typically spitzy keeshonden have a foxy face pointed ears an abundant coat and a plumed tail carried high over the back a unique breed characteristicand one of the most charming hallmarks in all dogdomis the spectacles these shadings and markings around the eyes give the impression that a kees is wearing designer eyewear the specs draw attention to an alert intelligent expression the amiable keeshond is a mediumsized spitz dog of ample coat famous for the distinctive spectacles on his foxy face once a fixture on the canal barges of his native holland the kees was and remains a symbol of dutch patriotism,friendly lively outgoing,95,43.18,45.72,15.875732950000002,20.41165665,12.0,15.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
Kerry Blue Terrier,of course we begin with the showstopping coat that turns heads wherever kerries go it comes in shades of bluefrom a deep slate to a light bluegrayand is so soft that its as pleasing to the touch as it is to the eye the dense coat covers a muscular welldeveloped body standing below 20 inches at the shoulder and weighing up to 40 pounds a sporty beard and dark keen eyes accentuate the nobility of the long terrier head among the largest of akc terriers the kerry blue terrier is famous for his showstopping blue coat named for the irish county of his birth this onetime farm dog is today an alert adaptable and animated watchdog and family companion,smart alert peopleoriented,129,44.45,49.53,14.968548210000002,18.1436948,12.0,15.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.6,,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive
Kishu Ken,the kishu ken is a great dog for an active person and has the ability to be an easygoing house dog when they are not out and about they are mediumsized well balanced and their muscles are well developed they have pricked ears and a curled or sickle tail kishus are very loving and affectionate with their families and need to be included in activities they are great with kids if raised with them but they are often aloof with strangers kishu ken have high prey drives and might like to give chase to small animals if he is raised with a small animal such as a cat he could do well with them but most kishus cant help but give in to their instincts club contact detailsclub american kishu ken clubname carleen newmanemail kishuken1gmailcom club national kishu clubname cj hammond  presidentemail infokishuclubcom the kishu ken is a dog of noteworthy endurance showing nobility dignity and naive feeling his temperament is faithful docile and very alert,faithful noble docile,,43.18,55.88,13.6077711,27.2155422,11.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers
Komondor,our hungarianlanguage tip of the day the plural of komondor is komondorok now lets take a look at the dog what we see is a large and powerful guardian covered in profuse white cords a big male can stand more than 275 inches and weigh over 100 pounds with heavy bone a deep chest and lots of muscle despite their brawn komondorok are agile and lightfooted and move with long strides with their unique look its impossible to mistake koms for anything else a powerfully large hungarian flock guardian covered in profuse white cords from head to tail the komondor is among the worlds most recognizable breeds the independent and protective kom requires a firm experienced hand at training,loyal dignified brave,173,64.77,69.85,36.2873896,45.359237,10.0,12.0,Working Group,1.0,Specialty/Professional,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Kromfohrlander,the kromfohrlander is a very intelligent funny agile dog which loves to climb and jump and easily excels at agility and dogtrick training but can be fussy with food they come in two coat types wirehaired with beard and smooth haired smooth face with no beard and beautiful long soft hair the breeds nickname in north america is kromi kromeee the kromfohrlander was bred to be a companion only retains very little hunting instinct despite its terrier heritage and is often longlived 1718 years old he is good with children and family and tends to be a oneperson dog he is very attached to his owner will not run away and is first to alert to strangers club contact detailsclub kromfohrlander club of americaname mary dixonemail kromiclubgmailcomphone 7342772270 the kromfohrlander is a mediumsized companion breed that is sensitive loving and loyal to its owners he has a distinctive smile and will sneeze to greet you pronunciation of the breed is kromeforlahndair,intelligent active sensitive,,38.1,45.72,9.0718474,15.875732950000002,13.0,15.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers
Kuvasz,imposing impressive majestic massive mightypick the adjective you like best they all apply to the kuvasz pronounced koovahz the plural is kuvaszok pronounced koovahsock this snowwhite livestock guardian of luxuriant coat can stand as high as 30 inches at the shoulder and weigh between 70 and 110 pounds despite their size and strength kuvs are quickmoving nimblefooted protectors when meeting a threat the breeds fans say that the elegantly proportioned head is considered to be the most beautiful part of the kuvasz the snowwhite kuvasz is hungarys majestic guardian of flocks and companion of kings a working dog of impressive size and strength the imposing and thickly coated kuvasz is a beautiful smart profoundly loyal but challenging breed,loyal fearless sweet,163,66.04,76.2,31.751465900000003,52.16312255,10.0,12.0,Working Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Labrador Retriever,the sturdy wellbalanced labrador retriever can depending on the sex stand from 215 to 245 inches at the shoulder and weigh between 55 to 80 pounds the dense hard coat comes in yellow black and a luscious chocolate the head is wide the eyes glimmer with kindliness and the thick tapering otter tail seems to be forever signaling the breeds innate eagernesslabs are famously friendly they are companionable housemates who bond with the whole family and they socialize well with neighbor dogs and humans alike but dont mistake his easygoing personality for low energy the lab is an enthusiastic athlete that requires lots of exercise like swimming and marathon games of fetch to keep physically and mentally fit the sweetfaced lovable labrador retriever is americas most popular dog breed labs are friendly outgoing and highspirited companions who have more than enough affection to go around for a family looking for a mediumtolarge dog,friendly active outgoing,1,54.61,62.23,24.947580350000003,36.2873896,10.0,12.0,Sporting Group,0.4,Weekly Brushing,0.8,Regularly,1.0,Needs Lots of Activity,1.0,Eager to Please,1.0,Outgoing
Lagotto Romagnolo,italians have a word for it carino in english we say cute in any language this breed is totally endearing the lagotto romagnolo plural lagotti romagnoli is known for wooly curls that cover the body head to tail crowned by a lavish beard eyebrows and whiskers lagotti stand under 20 inches and weigh no more than 35 pounds but dont be fooled by their teddybear looksthese are rugged workers of true strength and endurance the breeds trademark curls feel and behave more like human hair than fur the lagotto romagnolo italys adorable truffle dog sports a curly coat and lavish facial furnishings despite their plushtoy looks lagotti are durable workers of excellent nose who root out truffles a dainty and pricey delicacy,affectionate keen undemanding,99,40.64,48.26,10.88621688,15.875732950000002,15.0,17.0,Sporting Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive
Lakeland Terrier,square and sturdy lakelands standing less than 15 inches at the shoulder and weighing about 17 pounds are small dogs but dont tell them that with their cockofthewalk swagger lakelands personify the old doglovers clich a big dog in a small package they come in several colors some have a sporty saddle mark on the backwith folded vshaped ears straight front rectangular head and a mischievous twinkle in their eye lakelands are the blueprint of a longlegged british terrier a bold zesty big dog in a small package the lakeland terrier named for the lake district of his native england was once a farmers dog bred to work in packs on sheepstealing foxes the lakelands coat is hard wiry and lowshedding,friendly confident bold,147,35.56,38.1,7.71107029,7.71107029,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Lancashire Heeler,small powerful sturdily built alert and an energetic worker the lancashire heeler works cattle but has terrier instincts when rabbiting and ratting they have a unique characteristic called the heeler smile when content heelers have been known to draw back their lips in an effort that emulates a human smile in 2003 the breed was placed on the endangered breeds list of the kennel club uk due to the small number of dogs composing the gene pool and the risk of several inherited diseases the united states lancashire heeler clubname sheryl bradburyemail sherylbradburywindstreamnetphone 8163082424 the lancashire heeler is a medium to high energy dog intelligent alert and friendly they are quick to learn new tasks a sturdy little dog with a short weatherresistant coat of black and tan or liver and tan they are affectionate with their owners always happy talkative and always ready for a walk their small size is what gives them their charm,affectionate versatile intelligent,,25.4,30.48,4.082331330000001,7.71107029,12.0,15.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.8,Friendly
Lapponian Herder,the lapponian herder is an independent fun breed they are very intelligent and generally eager to please as a highenergy herding breed they excel in many other dog sports besides herding such as companion events its love of hard work makes it a wonderful breed in any event that is competitive and fun early socialization is important because of their herding mentality and they thrive when they have a job to do though eager to please the lapponian herder is very vocal and often barks while working breed contactname heidi christensonaddress 519 nw 209th street ridgefield wa 98642email girln2poochesyahoocomphone 3606092942 the lapponian herder is a mediumsized dog with a medium coat making them easy to maintain and perfect for any experienced dog owner they are a wonderful rounded diversified dog breed ready to problem solve any task given to them they can fit into most living environments as long as they are given jobs to do this breed comes in many colors including greybrown black often with lighter undercoats and white or tan markings they are aloof with strangers but love their people,friendly energetic intelligent,,45.72,50.8,31.751465900000003,31.751465900000003,10.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers
Leonberger,a huge and powerful dog yes but the leonberger is also known for his aristocratic grace and elegance a male can stand over 31 inches at the shoulder and weigh as much as a fullgrown human females run smaller but are still a whole lot of dog breed hallmarks include a mediumlong waterproof coat lush triangular ears a bushy tail and a black facemask that frames kindly darkbrown eyes a dramatic feature of the males coat is the lionlike mane around the neck and chest a wellbuilt leo moves with an easy elastic gait a leo is friendly but nobodys fool as watchdogs and allaround workers they exhibit intelligence and sound judgment leos require lots of brushing ample room for romping and unlimited love the leonberger is a lushcoated giant of german origin they have a gentle nature and serene patience and they relish the companionship of the whole family,friendly gentle playful,93,64.77,80.01,40.8233133,77.1107029,9.0,9.0,Working Group,0.8,Daily Brushing,0.8,Regularly,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly
Lhasa Apso,standing less than a foot high at the shoulder lhasas are small but hardy dogs of aristocratic bearing theyre famous for a floorlength flathanging coat parted in the middle and draping each side of the body a feathery tail curls over the back in the distinct manner of tibetan breeds the breeds fans say the dark ovalshaped eyespeeping through lavish facial hairare the windows of a lhasas merry soul the complete picture is unmistakably asian exotic elegant and serenely well balanced the lavishly coated lhasa apso is a thousandyearold breed who served as sentinels at palaces and monasteries isolated high in the himalayas smart confident and complex lhasas are family comedians but regally aloof with strangers,confident smart comical,71,25.4,27.94,5.4431084400000005,8.164662660000001,12.0,15.0,Non-Sporting Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers
Löwchen,small dogs with enormous heart lwchen the same singular or plural stand a bit over a foot tall at the shoulder the coat is traditionally kept in a lion clip in which most of the hindquarters and tail are clipped down close to the skin the overall effect is that of a mini lion with a full mane and plumed tail the coat comes in several colors and color combinations beneath the coat is a dog thats strong and sturdy but elegant and artfully balanced a companion dog whose name is german for little lion the lwchen has been a popular pet among continental europeans for more than 500 years the portable nonshedding lwchen is said to be affectionate lively and brave as a lion,affectionate outgoing positive,168,27.94,33.02,4.535923700000001,6.80388555,15.0,15.0,Non-Sporting Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,1.0,Outgoing
Maltese,maltese are affectionate toy dogs weighing less than seven pounds covered by a long straight silky coat beneath the allwhite mantle is a compact body moving with a smooth and effortless gait the overall picture depicts freeflowing elegance and balance the irresistible maltese facewith its big dark eyes and black gumdrop nosecan conquer the most jaded sensibilitydespite their aristocratic bearing maltese are hardy and adaptable pets they make alert watchdogs who are fearless in a charming toydog way and they are game little athletes on the agility course maltese are lowshedding longlived and happy to make new friends of all ages sometimes stubborn and willful they respond well to rewardsbased training the tiny maltese ye ancient dogge of malta has been sitting in the lap of luxury since the bible was a work in progress famous for their showstopping floorlength coat maltese are playful charming and adaptable toy companions,gentle playful charming,37,17.78,22.86,3.17514659,3.17514659,12.0,15.0,Toy Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,1.0,Outgoing
Manchester Terrier (Standard),all manchesters are similar in temperament body type and athletic ability despite differences in size theyre easily recognized by a tight coat of rich mahogany tan and jet black the head is long and wedgeshaped tan spots above each eye point up a watchful expression manchesters can motor running with good reach in front and propulsive rear drive powered by a muscular caboose the manchester terrier is named after the english city where much of the breeds early development took place sleek racy dogs who possess a terriers ratting instinct and the graceful contours of coursing hounds manchesters are spirited bright and athletic they combine the streamlined grace of a coursing hound and the instincts of a fearless rat terrier these racy dogs come in two size varieties  standard not exceeding 22 pounds and toy not exceeding 12 pounds,spirited bright keenly observant,133,38.1,40.64,5.4431084400000005,9.97903214,15.0,17.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
Manchester Terrier (Toy),manchesters combine the streamlined grace of a small coursing hound and the instincts of a fearless rat terrier these racy little dogs come in two size varieties toy not exceeding 12 pounds and standard not exceeding 22 pounds all manchesters are similar in temperament body type and athletic ability despite differences in size theyre easily recognized by a tight coat of rich mahogany tan and jet black the head is long and wedgeshaped tan spots above each eye point up a watchful expression manchesters can motor running with good reach in front and propulsive rear drive powered by a muscular caboose the manchester terrier is named after the english city where much of the breeds early development took place sleek racy dogs who possess a terriers ratting instinct and the graceful contours of coursing hounds manchesters are spirited bright and athletic they combine the streamlined grace of a coursing hound and the instincts of a fearless rat terrier these racy dogs come in two size varieties  toy not exceeding 12 pounds and standard not exceeding 22 pounds,agile spirited intelligent,133,25.4,30.48,5.4431084400000005,5.4431084400000005,15.0,17.0,Toy Group,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive
Mastiff,for the uninitiated a facetoface encounter with these blackmasked giants can be startling a male stands at least 30 inches at the shoulder and can outweigh many a fullgrown man the rectangular body is deep and thickly muscled covered by a short double coat of fawn apricot or brindle stripes the head is broad and massive and a wrinkled forehead accentuates an alert kindly expression mastiffs are patient lovable companions and guardians who take best to gentle training eternally loyal mastiffs are protective of family and a natural wariness of strangers makes early training and socialization essential mastiffs are magnificent pets but acquiring a powerful giantbreed dog is commitment not to be taken lightly the colossal mastiff belongs to a canine clan as ancient as civilization itself a massive heavyboned dog of courage and prodigious strength the mastiff is docile and dignified but also a formidable protector of those they hold dear,courageous dignified goodnatured,29,69.85,76.2,54.4310844,104.3262451,6.0,10.0,Working Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive
Miniature American Shepherd,the miniature american shepherd shares many physical traits with its forebear the australian shepherdonly on a smaller scale females stand between 13 and 17 inches at the shoulder males range from 14 to 18 inches despite their size minis are every inch a true herding dog energetic versatile rugged and extremely bright the eyecatching coat comes in black blue merle red and red merle the merle will exhibit in any amount marbling flecks or blotches minis move with the smooth and agile step of a dog built for hard work on punishing terrain the miniature american shepherd resembles a small australian shepherd true herders in spite of their compact size minis are bright selfmotivated workers and endearingly loyal and lively companion dogs who have an affinity for horses,goodnatured intelligent devoted,34,33.02,45.72,9.0718474,18.1436948,12.0,13.0,Herding Group,0.8,Daily Brushing,1.0,Frequent,0.8,Energetic,1.0,Eager to Please,0.8,Friendly
Miniature Bull Terrier,in nearly every way the mini is a bull terrier only smaller in fact before 1991 the akc classified the two bullys as varieties of the same breed minis stand between 10 and 14 inches at the shoulder theyre square muscular and for their size quite strong their trademark is a large eggshaped head with its dark triangular eyes that twinkle with mischief its impossible to mistake the bull terrier breeds for any other the coat can be pure white or white with predominate colored markings in most every way the miniature bull terrier is a bull terrier only smaller these upbeat mischievous dogs come equipped with terrier fire and fearlessness if ever a dog could claim the title clown prince of dogdom its the mini,upbeat mischievous comical,110,25.4,35.56,8.164662660000001,12.70058636,11.0,13.0,Terrier Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive
Miniature Pinscher,min pins are sturdy compact dogs standing no more than 125 inches at the shoulder the smooth shiny coat comes in two shades of solid red or chocolateandrust or blackandrust the dark slightly oval eyes and highset ears help bring out a selfpossessed big dog personality a distinguishing characteristic is the min pins highstepping hackney gait reminiscent of a hackney horse at the trot the leggy miniature pinscher is known to fans as the king of toys this proud fearless funloving toy breed of lustrous coat and a compact wedgeshaped physique is a true personality dog known for a highstepping hackney gait,fearless funloving proud,70,25.4,31.75,3.62873896,4.535923700000001,12.0,16.0,Toy Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive
Miniature Schnauzer,stocky robust little dogs standing 12 to 14 inches miniature schnauzers were bred down from their larger cousins standard schnauzers the bushy beard and eyebrows give minis a charming humanlike expression the hard wiry coat comes in three color patterns salt and pepper black and silver and solid black created to be allaround farm dogs and ratters they are tough muscular and fearless without being aggressivethe miniature schnauzer is a bright friendly trainable companion small enough to adapt to apartment life but tireless enough to patrol acres of farmland they get along well with other animals and kids minis are sturdy little guys and enjoy vigorous play home and family oriented they make great watchdogs the miniature schnauzer the smallest of the three schnauzer breeds is a generally healthy longlived and lowshedding companion add an outgoing personality a portable size and sporty good looks and youve got an ideal family dog,friendly smart obedient,19,30.48,35.56,4.9895160700000005,9.0718474,12.0,15.0,Terrier Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.6,Alert/Responsive
Mountain Cur,the mountain cur is a fast hard hunter that runs track with its head in the air he can be open semiopen or silent on track and has a clear bark that can be heard a long distance they will circle and drift on a cold track if a hot one is not available until they locate a hot track they are courageous fighters when required and extremely intelligent with strong treeing instincts and can easily be trained to leave unwanted game they respond best to training with a lot of human contact and in addition to hunting make great companions and watch dogs breed contactname mandy middletonaddress 417 n water street georgetown oh 45121phone 9373786900email walnutridgemtncursyahoocom the mountain cur is a hunting dog with a good treeing instinct it is a very courageous fighter and extremely intelligent doing whatever job its master desires the dogs were a crucial part of the cultures of early pioneers settlers and homesteaders,intelligent strongwilled reserved with strangers,,40.64,66.04,13.6077711,27.2155422,10.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.2,May be Stubborn,0.4,Reserved with Strangers
Mudi,the mudi pronounced moodie is a mediumsized herding dog from hungary which has been in existence since the 19th century it is said the mudi evolved naturally from crosses of the puli pumi and german spitz breeds today the mudi though very rare is seen as an active intelligent biddable working breed it is estimated there are no more than a few thousand mudi worldwide with the greatest numbers being in hungary followed by finland and then even scarcer throughout europe the us and canada the mudi excels at agility obedience and flyball as well as other dog sports he is a true working breed and shines when herding both cattle and sheep and has found fame as a search and rescue dog in both finland and the us club contact detailsclub mudi club of americaname susanne andersonemail sande2404gmailcom the mudi is an extremely versatile intelligent alert agile allpurpose hungarian farm dog his courage is useful for working the most stubborn livestock the breed is a loyal protector of property and family members without being overly aggressive,loyal intelligent active,,38.1,46.99,8.164662660000001,13.15417873,12.0,14.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.4,Occasional,1.0,Needs Lots of Activity,1.0,Eager to Please,0.4,Reserved with Strangers
Neapolitan Mastiff,unless youve been to jurassic park youve never seen anything like a mastino these majestic guardians of startling appearance are massive powerful dogs the us neapolitan mastiff club describes their dogs head as astoundingand give them credit for hitting upon just the right adjective the profuse hanging wrinkles and folds and pendulous lips make a mastino look like a marzipan mastiff thats been out in the sun too long and yet the breeds inner dignity and nobility can only be described as beautiful the neapolitan mastiff is a huge powerful guarder whose astounding appearance has intimidated intruders since the days of ancient rome wary with strangers the profusely wrinkled mastino is sweet placid and steady among loved ones,loyal dignified watchful,102,60.96,78.74,49.895160700000005,68.0388555,7.0,9.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.2,Aloof/Wary
Nederlandse Kooikerhondje,the kooikerhondje koikerhondyuhthe little white and orange dog with a big heartis a sporty eyecatching fellow with a silky allweather coat of white with red patches they are instantly recognizable thanks to their large blacktipped ears and the richly feathered tail they wag proudly the breed has the sturdy bone structure expected of a serious hunter but the overall picture is that of a harmoniously built dog of smooth flowing contours and springy gait the nederlandse kooikerhondje is lively agile selfconfident goodnatured and alert the breed is faithful easygoing and friendly in the home outdoors he is a true sporting dog being keen swift tough attentive and energetic with sufficient perseverance and stamina he enjoys working and does so with a cheerful character,friendly alert quick,150,35.56,43.18,9.0718474,13.6077711,12.0,15.0,Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers
Newfoundland,a male newfoundland can weigh up to 150 pounds and stand 28 inches at the shoulder females typically go 100 to 120 pounds the newf head is majestic the expression soft and soulful the outer coat is flat and coarse colors are gray brown black and a blackandwhite coat named for artist sir edwin landseer who popularized the look in his paintingsthe newfie breed standard says that a sweet temperament is the most important single characteristic of the breed the newfs sterling character is expressed in their affinity for kids trusting and trainable newfs respond well to gentle guidance these noble giants are among the worlds biggest dogs and acquiring a pet that could outweigh you comes with obvious challenges the massive newfoundland is a strikingly large powerful working dog of heavy bone and dignified bearing the sweettempered newfie is a famously good companion and has earned a reputation as a patient and watchful nanny dog for kids,sweet patient devoted,40,66.04,71.12,45.359237,68.0388555,9.0,10.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly
Norfolk Terrier,norfolk terriers are among the smallest working terriers standing no higher than 10 inches at the shoulder the coat is hard wiry and straight they share many traits with their close cousins norwich terriers to tell them apart look at the ears the norwich has erect pointed ears norfolk ears are neatly folded overbred to work in packs norfolks are more gregarious than a typical terrier but they have plenty of the old terrier pep few norfolks these days earn their living hunting rodents but a good one will fearlessly do so when given a chance norfolks bond closely sometimes jealously with their owners and make nice watchdogs they have a reputation as a good traveler portable adaptable and up for anything norfolk terriers are little cute and loyal and they will gladly curl up in your lap but dont dare call them lapdogs norfolks despite their toyish qualities are genuine terriersfeisty confident sturdy and game for adventure,fearless alert funloving,126,22.86,25.4,4.9895160700000005,5.4431084400000005,12.0,16.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Norrbottenspets,nobs arent large dogs a big male stands a shade below 20 inches but their tough sinewy bodies are built to withstand punishing terrain and harsh climates they are a smallsized hunting dog of spitztype which was thought to be extinct but survived as a farm and hunting dog in the northern parts of sweden and finland to be able to navigate the rough terrain and climate of the scandinavian forests and hold large dangerous game like moose norrbottenspets evolved to be extremely agile rugged and weatherproof with a fearless attitude while at the same time kind and affectionate companions at home they exhibit no extremes in physical characteristics because they must do all things well the norrbottenspets is a small slightly rectangular spitzdog well poised with sinewy and welldeveloped muscles alert with head carried high they have a fearless attitude and are extremely agile they are calm keen and attentive with a kind disposition,fearless agile attentive,,41.91,45.72,9.0718474,13.6077711,14.0,17.0,Miscellaneous Class,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.6,,0.6,
Norwegian Buhund,the buhund a prototypical spitz provides a good opportunity to explain the term spitz are coldweather breeds characterized by a dense coat a tail curved tightly over the back a wedgeshaped head and erect pointed ears spitz means pointed in ancient german they can be pintsized like pomeranians mighty like malamutes or midsized like the lithe but sturdy buhund males can stand 185 inches high and weight up to 40 pounds coat colors are wheaten or black the densely coated norwegian buhund a nordic spitztype closely associated with the vikings is a mediumsized coldweather worker adept at herding and guarding as family dogs buhunds are smart affectionate and steadfastly devoted,confident smart perceptive,165,40.64,46.99,11.79340162,18.1436948,12.0,15.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.8,Friendly
Norwegian Elkhound,norwegian elkhounds are hardy shortbodied dogs standing about 20 inches at the shoulder they have a dense silvergray coat and a tail curling tightly over the back the deep chest sturdy legs and muscular thighs belong to a dog built for an honest days work the eyes are a dark brown and the ears mobile and erect overall an elkhound is the picture of an alert and steadfast dog of the northelkhounds are famously fine companions and intelligent watchdogs agility and herding trials are good outlets for their natural athleticism and eagerness reserved until introductions are made an elkhound is a trustworthy friend ever after these strong confident dogs are truly sensitive souls with a dash of houndy independence the norwegian elkhound is a robust spitz type known for his lush silvergray coat and dignified but friendly demeanor the durable elkhound is among europes oldest dogs they sailed with the vikings and figure in norse art and legend,friendly confident dependable,97,49.53,52.07,21.77243376,24.947580350000003,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly
Norwegian Lundehund,at a glance lundehunds seem a typical northern breed a spitz type with triangular ears curving tail and a dense double coat but a closer look reveals several unique traits they have feet with at least six fully functioning toes and extra paw pads an elastic neck that can crane back so the head touches the spine ears that fold shut and flexible shoulders that allow forelegs to extend to the side perpendicular to the body this last anomaly produces the breeds distinctive rotary gait from norways rocky island of vaeroy the uniquely constructed norwegian lundehund is the only dog breed created for the job of puffin hunting with puffins now a protected species todays lundehund is a friendly athletic companion,loyal energetic alert,191,30.48,38.1,9.0718474,13.6077711,12.0,15.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers
